id,proyecto,provincia,tecnologia,ronda,potencia_mw,latitud,longitud,avance,estado,periodo_max,geojson
108-BM-01,C.T. GARRUCHOS,CORRIENTES,BIOMASA,RESOLUCIÓN 108/2011,36,-27.949589,-55.993064,1,Finalizado,202111,"{""type"":""Point"",""coordinates"":[-55.993064,-27.949589]}"
108-EOL-01,P.E. NECOCHEA ,BUENOS AIRES,EÓLICA,RESOLUCIÓN 108/2011,0.25,-38.60429722,-58.79039722,1,Finalizado,202111,"{""type"":""Point"",""coordinates"":[-58.79039722,-38.60429722]}"
108-EOL-02,P.E. DIADEMA ,CHUBUT,EÓLICA,RESOLUCIÓN 108/2011,6.3,-45.74651111,-67.69478333,1,Finalizado,202111,"{""type"":""Point"",""coordinates"":[-67.69478333,-45.74651111]}"
108-EOL-03,P.E. TORDILLO,CHUBUT,EÓLICA,RESOLUCIÓN 108/2011,3,-45.85096,-67.90829,1,Finalizado,202111,"{""type"":""Point"",""coordinates"":[-67.90829,-45.85096]}"
108-EOL-04,P.E. ARAUCO I ETAPA I,LA RIOJA,EÓLICA,RESOLUCIÓN 108/2011,25.2,-28.66835,-66.75241,1,Finalizado,202111,"{""type"":""Point"",""coordinates"":[-66.75241,-28.66835]}"
108-EOL-05,P.E. ARAUCO I ETAPA II,LA RIOJA,EÓLICA,RESOLUCIÓN 108/2011,25.2,-28.66835,-66.75241,1,Finalizado,202111,"{""type"":""Point"",""coordinates"":[-66.75241,-28.66835]}"
108-EOL-06,P.E. EL JUME,SANTIAGO DEL ESTERO,EÓLICA,RESOLUCIÓN 108/2011,8,-29.41893889,-63.71035,1,Finalizado,202111,"{""type"":""Point"",""coordinates"":[-63.71035,-29.41893889]}"
108-PAH-01,P.A.H. SALTO ANDERSEN,LA PAMPA,PAH,RESOLUCIÓN 108/2011,7.9,-38.82148,-64.817286,1,Finalizado,202111,"{""type"":""Point"",""coordinates"":[-64.817286,-38.82148]}"
108-SFV-01,P.S. SAN JUAN I ,SAN JUAN,SOLAR,RESOLUCIÓN 108/2011,1.2,-31.389074,-68.675235,1,Finalizado,202111,"{""type"":""Point"",""coordinates"":[-68.675235,-31.389074]}"
137-PAH-01,P.A.H. NIHUIL IV,MENDOZA,PAH,RESOLUCIÓN 137/2011,30,-34.90399,-68.617607,1,Finalizado,202111,"{""type"":""Point"",""coordinates"":[-68.617607,-34.90399]}"
BG-01,C.T. RÍO CUARTO I,CÓRDOBA,BIOGÁS,RENOVAR RONDA 1,2,-33.18534722,-64.38525833,1,Finalizado,202111,"{""type"":""Point"",""coordinates"":[-64.38525833,-33.18534722]}"
BG-02,C.T. RÍO CUARTO II,CÓRDOBA,BIOGÁS,RENOVAR RONDA 1,1.2,-33.17822222,-64.38319444,1,Finalizado,202111,"{""type"":""Point"",""coordinates"":[-64.38319444,-33.17822222]}"
BG-03,C.T. YANQUETRUZ,SAN LUIS,BIOGÁS,RENOVAR RONDA 1,1.2,-33.37818611,-65.56849167,1,Finalizado,202111,"{""type"":""Point"",""coordinates"":[-65.56849167,-33.37818611]}"
BG-04,C.T. SAN PEDRO VERDE,SANTA FE,BIOGÁS,RENOVAR RONDA 1,1.415,-34.22269722,-62.07718611,1,Finalizado,202111,"{""type"":""Point"",""coordinates"":[-62.07718611,-34.22269722]}"
